Timestamp,Fiscal Year,Date,Event Type,Source URL,Bill Name (if applicable),Input note for the FY
10/29/2025 15:17:04,2018,05/23/2017,President's Budget Delivered to Congress,https://www.gpo.gov/fdsys/pkg/BUDGET-2018-BUD/pdf/BUDGET-2018-BUD.pdf,,"""DoD started FY18 under a CR and continued with five additional CRs before the Consolidated Appropriations Act became Law in March"""
10/29/2025 15:18:08,2018,09/08/2017,Continuing Resolution,https://www.congress.gov/bill/115th-congress/house-bill/601?q=%7B%22search%22%3A%5B%22h.r.601%22%5D%7D&r=1,H.R. 601,
10/29/2025 15:18:32,2018,12/08/2017,Continuing Resolution,https://www.govinfo.gov/content/pkg/PLAW-115publ90/pdf/PLAW-115publ90.pdf,H.J. Res 123,
10/29/2025 15:18:56,2018,12/22/2017,Continuing Resolution,https://www.govinfo.gov/content/pkg/PLAW-115publ96/pdf/PLAW-115publ96.pdf,H.R. 1370,
10/29/2025 15:19:28,2018,01/20/2018,Government Shutdown,https://www.congress.gov/crs-product/RL34680,,
10/29/2025 15:19:45,2018,01/22/2018,Continuing Resolution,https://www.congress.gov/115/plaws/publ120/PLAW-115publ120.pdf,H.R. 195,
10/29/2025 15:20:06,2018,02/09/2018,Continuing Resolution,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,H.R. 1892,
10/29/2025 15:20:35,2018,03/23/2018,Appropriation,https://www.congress.gov/bill/115th-congress/house-bill/1625/text,H.R. 1625,
10/29/2025 15:20:59,2019,02/12/2018,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2019-BUD/pdf/BUDGET-2019-BUD.pdf,,"""While other parts of the government started under CR, DoD's FY19 appropriations passed on time. The December 2018-January 2019 shutdown did not directly affect DoD spending"""
10/29/2025 15:21:20,2019,09/28/2018,Appropriation,https://www.congress.gov/bill/115th-congress/house-bill/6157,H.R. 6157,
10/29/2025 15:21:49,2020,03/11/2019,President's Budget Delivered to Congress,https://www.govinfo.gov/content/pkg/BUDGET-2020-BUD/pdf/BUDGET-2020-BUD.pdf,,"""DOD Started FY2020 under a CR and continued with two additional CRs before the Consolidated Appropriations Act became Law in December"""
10/29/2025 15:22:13,2020,09/27/2019,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2020,H.R. 4378,
10/29/2025 15:22:35,2020,11/21/2019,Continuing Resolution,https://www.congress.gov/crs-appropriations-status-table/2020,H.R. 3055,
